"KEGG Organisms: Complete Genomes"
"Eukaryotes: 542   Bacteria: 6047   Archaea: 338"
"[ Genomes | Species | Genus | Viruses | Meta ]"
""
""
"Eukaryotes"
""
"Category                                                     Organisms                              Source"
"hsa   Homo sapiens (human)                                          RefSeq"
"ptr   Pan troglodytes (chimpanzee)                                  RefSeq"
"pps   Pan paniscus (bonobo)                                         RefSeq"
"ggo   Gorilla gorilla gorilla (western lowland gorilla)             RefSeq"
"pon   Pongo abelii (Sumatran orangutan)                             RefSeq"
"nle   Nomascus leucogenys (northern white-cheeked gibbon)           RefSeq"
"mcc Macaca mulatta (rhesus monkey)                                  RefSeq"
"mcf   Macaca fascicularis (crab-eating macaque)                     RefSeq"
"csab Chlorocebus sabaeus (green monkey)                              RefSeq"
"rro   Rhinopithecus roxellana (golden snub-nosed monkey)            RefSeq"
"rbb   Rhinopithecus bieti (black snub-nosed monkey)                 RefSeq"
"cjc   Callithrix jacchus (white-tufted-ear marmoset)                RefSeq"
"sbq   Saimiri boliviensis boliviensis (Bolivian squirrel monkey)    RefSeq"
"mmu Mus musculus (mouse)                                             RefSeq"
"mcal Mus caroli (Ryukyu mouse)                                       RefSeq"
"mpah Mus pahari (shrew mouse)                                        RefSeq"
"rno   Rattus norvegicus (rat)                                       RefSeq"
"mun Meriones unguiculatus (Mongolian gerbil)                        RefSeq"
"cge   Cricetulus griseus (Chinese hamster)                          RefSeq"
"ngi   Nannospalax galili (Upper Galilee mountains blind mole rat)   RefSeq"
"hgl   Heterocephalus glaber (naked mole rat)                        RefSeq"
"ccan Castor canadensis (American beaver)                             RefSeq"
"ocu   Oryctolagus cuniculus (rabbit)                                RefSeq"
"tup   Tupaia chinensis (Chinese tree shrew)                         RefSeq"
"cfa   Canis lupus familiaris (dog)                                  RefSeq"
"vvp   Vulpes vulpes (red fox)                                       RefSeq"
"aml   Ailuropoda melanoleuca (giant panda)                          RefSeq"
"umr   Ursus maritimus (polar bear)                                  RefSeq"
"uah   Ursus arctos horribilis                                       RefSeq"
"oro   Odobenus rosmarus divergens (Pacific walrus)                  RefSeq"
"elk   Enhydra lutris kenyoni (northern sea otter)                   RefSeq"
""
"fca   Felis catus (domestic cat)                                    RefSeq"
"ptg   Panthera tigris altaica (Amur tiger)                          RefSeq"
"Mammals"
"ppad Panthera pardus (leopard)                                       RefSeq"
"aju   Acinonyx jubatus (cheetah)                                    RefSeq"
"bta   Bos taurus (cow)                                              RefSeq"
"bom Bos mutus (wild yak)                                            RefSeq"
"biu   Bos indicus (zebu cattle)                                     RefSeq"
"bbub Bubalus bubalis (water buffalo)                                 RefSeq"
"chx   Capra hircus (goat)                                           RefSeq"
"oas   Ovis aries (sheep)                                            RefSeq"
"ssc   Sus scrofa (pig)                                              RefSeq"
"cfr   Camelus ferus (Wild Bactrian camel)                           RefSeq"
"cdk   Camelus dromedarius (Arabian camel)                           RefSeq"
"bacu Balaenoptera acutorostrata scammoni (minke whale)               RefSeq"
"lve   Lipotes vexillifer (Yangtze River dolphin)                    RefSeq"
"oor   Orcinus orca (killer whale)                                   RefSeq"
"dle   Delphinapterus leucas (beluga whale)                          RefSeq"
"pcad Physeter catodon (sperm whale)                                  RefSeq"
"ecb   Equus caballus (horse)                                        RefSeq"
"epz   Equus przewalskii (Przewalski's horse)                        RefSeq"
"eai   Equus asinus (ass)                                            RefSeq"
"myb Myotis brandtii (Brandt's bat)                                  RefSeq"
"myd Myotis davidii                                                  RefSeq"
"mna Miniopterus natalensis                                          RefSeq"
"hai   Hipposideros armiger (great roundleaf bat)                    RefSeq"
"dro   Desmodus rotundus (common vampire bat)                        RefSeq"
"pale Pteropus alecto (black flying fox)                             RefSeq"
"ray   Rousettus aegyptiacus (Egyptian rousette)                     RefSeq"
"mjv   Manis javanica (Malayan pangolin)                             RefSeq"
"                                      lav   Loxodonta africana (African savanna elephant)       RefSeq"
"tmu    Trichechus manatus latirostris (Florida manatee)    RefSeq"
"mdo Monodelphis domestica (opossum)                        RefSeq"
"shr   Sarcophilus harrisii (Tasmanian devil)              RefSeq"
"pcw Phascolarctos cinereus (koala)                         RefSeq"
"oaa    Ornithorhynchus anatinus (platypus)                 RefSeq"
"gga    Gallus gallus (chicken)                             RefSeq"
"mgp Meleagris gallopavo (turkey)                           RefSeq"
"cjo   Coturnix japonica (Japanese quail)                  RefSeq"
"nmel Numida meleagris (helmeted guineafowl)                RefSeq"
"apla Anas platyrhynchos (mallard)                          RefSeq"
"acyg Anser cygnoides domesticus (swan goose)               RefSeq"
"tgu   Taeniopygia guttata (zebra finch)                   RefSeq"
