Reaction,Rever1ible
rn:R01786,0
rn:R01786,0
rn:R01786,0
rn:R00150,0
rn:R00150,0
rn:R00200,1
rn:R00200,1
rn:R00200,1
rn:R00212,1
rn:R00212,1
rn:R00214,0
rn:R00214,0
rn:R00216,0
rn:R00216,0
rn:R00228,1
rn:R00228,1
rn:R00228,1
rn:R00228,1
rn:R00228,1
rn:R00229,1
rn:R00229,1
rn:R00237,1
rn:R00237,1
rn:R00238,1
rn:R00238,1
rn:R00238,1
rn:R00238,1
rn:R00238,1
rn:R00238,1
rn:R00238,1
rn:R00238,1
rn:R00238,1
rn:R00238,1
rn:R00238,1
rn:R00238,1
rn:R00243,0
rn:R00243,0
rn:R00243,0
rn:R00243,0
rn:R00243,0
rn:R00258,1
rn:R00258,1
rn:R00258,1
rn:R00262,1
rn:R00262,1
rn:R00264,1
rn:R00264,1
rn:R00286,1
rn:R00286,1
rn:R00286,1
rn:R00289,1
rn:R00289,1
rn:R00289,1
rn:R00289,1
rn:R00289,1
rn:R00341,0
rn:R00341,0
rn:R00341,0
rn:R00341,0
rn:R00342,1
rn:R00342,1
rn:R00342,1
rn:R00342,1
rn:R00342,1
rn:R00343,1
rn:R00343,1
rn:R00352,1
rn:R00352,1
rn:R00355,1
rn:R00355,1
rn:R00355,1
rn:R00372,1
rn:R00372,1
rn:R00396,1
rn:R00396,1
rn:R00405,1
rn:R00405,1
rn:R00405,1
rn:R00431,0
rn:R00431,0
rn:R00431,0
rn:R00462,0
rn:R00462,0
rn:R00472,0
rn:R00472,0
rn:R00473,1
rn:R00473,1
rn:R00529,1
rn:R00529,1
rn:R00529,1
rn:R00565,1
rn:R00565,1
rn:R00586,0
rn:R00586,0
rn:R00586,0
rn:R00588,1
rn:R00588,1
rn:R00653,1
rn:R00653,1
rn:R00672,1
rn:R00672,1
rn:R00707,1
rn:R00707,1
rn:R00708,1
rn:R00708,1
rn:R00710,0
rn:R00710,0
rn:R00715,1
rn:R00715,1
rn:R00726,0
rn:R00726,0
rn:R00726,0
rn:R00734,1
rn:R00734,1
rn:R00734,1
rn:R00734,1
rn:R00734,1
rn:R00737,0
rn:R00737,0
rn:R00742,1
rn:R00742,1
rn:R00742,1
rn:R00742,1
rn:R00742,1
rn:R00774,0
rn:R00774,0
rn:R00782,0
rn:R00833,1
rn:R00833,1
rn:R00833,1
rn:R00833,1
rn:R00858,0
rn:R00859,1
rn:R00883,0
rn:R00883,0
rn:R00885,1
rn:R00885,1
rn:R00889,1
rn:R00889,1
rn:R00905,0
rn:R00905,0
rn:R00905,0
rn:R00921,1
rn:R00945,1
rn:R00945,1
rn:R00945,1
rn:R00945,1
rn:R00946,1
rn:R00946,1
rn:R00948,1
rn:R00948,1
rn:R00954,1
rn:R00954,1
rn:R00956,1
rn:R00956,1
rn:R00994,0
rn:R00994,0
rn:R01015,1
rn:R01015,1
rn:R01015,1
rn:R01015,1
rn:R01049,0
rn:R01049,0
rn:R01056,1
rn:R01056,1
rn:R01061,1
rn:R01061,1
rn:R01063,1
rn:R01063,1
rn:R01087,1
rn:R01087,1
rn:R01150,0
rn:R01150,0
rn:R01151,0
rn:R01155,1
rn:R01177,1
rn:R01177,1
rn:R01183,1
rn:R01183,1
rn:R01196,0
rn:R01196,0
rn:R01196,0
rn:R01196,0
rn:R01196,0
rn:R01197,0
rn:R01197,0
rn:R01214,1
rn:R01214,1
rn:R01214,1
rn:R01220,1
rn:R01220,1
rn:R01280,0
rn:R01280,0
rn:R01325,1
rn:R01325,1
rn:R01325,1
rn:R01366,0
rn:R01366,0
rn:R01370,1
rn:R01370,1
rn:R01371,1
rn:R01371,1
rn:R01373,0
rn:R01381,1
rn:R01381,1
rn:R01381,1
rn:R01388,1
rn:R01388,1
rn:R01392,1
rn:R01392,1
rn:R01431,1
rn:R01434,1
rn:R01434,1
rn:R01476,0
rn:R01476,0
rn:R01476,0
rn:R01512,1
rn:R01512,1
rn:R01518,1
rn:R01518,1
rn:R01529,1
rn:R01529,1
rn:R01529,1
rn:R01611,0
rn:R01611,0
rn:R01641,1
rn:R01641,1
rn:R01655,0
rn:R01655,0
rn:R01669,1
rn:R01669,1
rn:R01717,1
rn:R01717,1
rn:R01728,0
rn:R01728,0
rn:R01777,0
rn:R01777,0
rn:R01788,1
rn:R01788,1
rn:R01836,1
rn:R01836,1
rn:R01838,1
rn:R01838,1
rn:R01900,1
rn:R01900,1
rn:R01900,1
rn:R01975,1
rn:R01975,1
rn:R01975,1
rn:R01975,1
rn:R01975,1
rn:R01976,1
rn:R01976,1
rn:R01977,1
rn:R01977,1
rn:R02000,1
rn:R02101,0
rn:R02101,0
rn:R02164,1
rn:R02164,1
rn:R02164,1
rn:R02164,1
rn:R02189,0
rn:R02189,0
rn:R02199,1
rn:R02199,1
rn:R02219,0
rn:R02269,0
rn:R02269,0
rn:R02269,0
rn:R02340,1
rn:R02340,1
rn:R02484,1
rn:R02536,1
rn:R02536,1
rn:R02661,0
rn:R02695,1
rn:R02722,1
rn:R02722,1
rn:R02729,1
rn:R02729,1
rn:R02765,1
rn:R02765,1
rn:R02765,1
rn:R02765,1
rn:R02963,1
rn:R02963,1
rn:R03026,1
rn:R03026,1
rn:R03026,1
rn:R03026,1
rn:R03026,1
rn:R03026,1
rn:R03026,1
rn:R03027,1
rn:R03027,1
rn:R03045,1
rn:R03045,1
rn:R03045,1
rn:R03046,1
rn:R03046,1
rn:R03158,0
rn:R03158,0
rn:R03172,0
rn:R03244,1
rn:R03244,1
rn:R03264,1
rn:R03264,1
rn:R03337,1
rn:R03337,1
rn:R03339,1
rn:R03339,1
rn:R03397,1
rn:R03397,1
rn:R03399,1
rn:R03399,1
rn:R03778,1
rn:R03778,1
rn:R03858,1
rn:R03858,1
rn:R03896,1
rn:R03896,1
rn:R03898,1
rn:R03898,1
rn:R03984,0
rn:R03984,0
rn:R03991,1
rn:R03991,1
rn:R04095,1
rn:R04125,0
rn:R04125,0
rn:R04325,0
rn:R04325,0
rn:R04560,0
rn:R04560,0
rn:R04742,1
rn:R04742,1
rn:R04747,1
rn:R04747,1
rn:R05076,1
rn:R05076,1
rn:R05076,1
rn:R05399,0
rn:R05399,0
rn:R05636,0
rn:R05636,0
rn:R05692,1
rn:R05692,1
rn:R05850,1
rn:R05850,1
rn:R06613,0
rn:R06613,0
rn:R07055,0
rn:R07618,1
rn:R07618,1
rn:R07618,1
rn:R07618,1
rn:R07618,1
rn:R07672,1
rn:R07672,1
rn:R07675,1
rn:R07676,1
rn:R07676,1
rn:R09097,1
rn:R09097,1
rn:R10412,1
rn:R10412,1
rn:R10782,1
rn:R10782,1
